sampMatCode.base.building.DESC,organic,mean,sum,count
Cardamom fruit and similar-,0,0.025889967637540454,8,309
Cardoons and similar-,0,0.0,0,145
Carobs,0,0.0,0,1
Carrots,0,0.00011161273569648625,49,439018
Carrots,1,1.8925056775170325e-05,2,105680
Carrots and similar-,0,0.00019070867343046763,5,26218
Carrots and similar-,1,0.0004023335345001006,2,4971
Cashew nuts,0,0.00015093580197222782,3,19876
Cashew nuts,1,0.0,0,4170
Cashew nuts and similar-,0,0.0,0,3470
Cassava flour,0,0.0,0,928
Cassava leaves,0,0.0013869625520110957,1,721
Cassava roots,0,0.0005630630630630631,1,1776
Cassava roots and similar-,0,0.0,0,2250
Cassia bark (generic),0,0.0,0,546
Cassia bark (generic),1,0.0,0,456
Cattle fresh fat tissue,0,0.009771986970684038,27,2763
Cattle fresh fat tissue,1,0.0,0,26
Cattle milk,0,0.00027975940691005733,2,7149
Cauliflowers,0,9.034006581919082e-05,28,309940
Cauliflowers,1,6.005284650492433e-05,1,16652
Cauliflowers and similar-,0,7.467144563918757e-05,1,13392
Cauliflowers and similar-,1,0.0,0,3554
Celeriacs,0,0.0003700915019334091,29,78359
Celeriacs,1,0.0,0,7317
Celeriacs and similar-,0,0.0,0,123
Celeries,0,0.0006237354144797894,41,65733
Celeries,1,0.0,0,3313
Celeries and similar-,0,0.0006048387096774194,3,4960
Celeries and similar-,1,0.0,0,526
Celery leaves,0,0.000422237860661506,15,35525
Celery leaves and similar-,0,0.0,0,1815
Celery seed,0,0.0,0,1
Ceps,0,0.002190100744634253,10,4566
Cereal and cereal-like flours,0,0.0,0,2996
Cereal and cereal-like flours,1,0.0,0,634
Cereal bran,1,1.0,1,1
Cereal flakes and similar,0,0.0,0,1517
Cereal grains (and cereal-like grains),0,0.00019743336623889436,6,30390
Cereal grains (and cereal-like grains),1,0.0,0,152
Cereal rolled grains,0,0.0,0,758
Cereal rolled grains,1,0.0,0,887
Cereals with an added high protein food reconstituted,0,0.0,0,68
Cereals with an added high protein food reconstituted,1,0.0,0,68
Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid,0,0.0,0,248
