product,organic,avg_combined_mrl_ratio,median_combined_mrl_ratio,p90_combined_mrl_ratio,p95_combined_mrl_ratio,avg_substances_found,median_substances_found,p90_substances_found,p95_substances_found,samples
Cape gooseberries,0,0.0027,0.0027,0.0028599999999999997,0.0028799999999999997,1.0,1.0,1.0,1.0,2
Capers buds,0,0.53,0.67,0.8700000000000001,0.895,0.6666666666666666,1.0,1.0,1.0,3
Capers buds,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Capsicum annuum hot cultivars,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Carambolas,0,0.44833333333333336,0.26,0.9290000000000003,1.3669999999999998,1.4444444444444444,1.0,3.0,3.0,9
Carambolas,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Caraway fruit,0,0.5033333333333333,0.51,0.6619999999999999,0.6809999999999999,1.6666666666666667,2.0,2.0,2.0,3
Cardamom fruit,0,0.09580952380952382,0.0,0.2576000000000002,0.4107999999999997,0.7142857142857143,0.0,2.0,2.0,7
Cardamom fruit and similar-,0,15.062833333333334,15.062833333333334,27.113100000000003,28.61938333333333,8.0,8.0,14.4,15.2,2
Cardoons and similar-,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Carobs,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Carrots,0,4.695521289325503,0.0,0.20773333333333355,0.9859999999999991,5.75114006514658,0.0,3.0,4.0,1535
Carrots,1,1.239445945362272,0.0,0.10737,0.137675,1.91156462585034,0.0,1.0,2.0,294
Carrots and similar-,0,0.1380625978090767,0.0,0.05373333333333335,0.5282666666666618,0.47183098591549294,0.0,1.0,2.0,142
Carrots and similar-,1,0.2234239766081871,0.0065,1.0695999999999999,1.249999999999999,0.8421052631578947,1.0,2.0,2.099999999999998,19
Cashew nuts,0,0.07821621621621622,0.0,0.0,0.16419999999999813,0.08108108108108109,0.0,0.0,1.0,74
Cashew nuts,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
Cashew nuts and similar-,0,0.04727272727272727,0.0,0.0,0.26,0.09090909090909091,0.0,0.0,0.5,11
Cassava flour,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Cassava leaves,0,0.75,0.75,1.35,1.4249999999999998,0.5,0.5,0.9,0.95,2
Cassava roots,0,0.09318181818181817,0.0,0.0,0.9499999999999993,0.09090909090909091,0.0,0.0,0.9499999999999993,22
Cassava roots and similar-,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Cassia bark (generic),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Cassia bark (generic),1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Cattle fresh fat tissue,0,0.08781506992277187,0.0,0.23333333333333334,0.43333333333333335,0.19035691922354414,0.0,1.0,1.0,1597
Cattle fresh fat tissue,1,0.926,0.926,0.926,0.926,2.0,2.0,2.0,2.0,1
Cattle milk,0,0.051013333333333334,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,300
Cauliflowers,0,3.412301312021312,0.0,0.078,0.37,4.72027972027972,0.0,1.0,2.0,1001
Cauliflowers,1,0.04328245341614907,0.0,0.015925,0.03233333333333333,0.15217391304347827,0.0,1.0,1.0,46
Cauliflowers and similar-,0,0.03284285714285714,0.0,0.0,0.0023599999999999966,0.1323529411764706,0.0,0.0,1.0,68
Cauliflowers and similar-,1,0.06532857142857143,0.0,0.004937142857142859,0.3200749999999997,0.42857142857142855,0.0,1.0,1.6999999999999993,14
Celeriacs,0,6.695012579279172,0.0765,1.6180999999999979,6.310749999999998,9.485106382978723,2.0,6.0,7.0,235
Celeriacs,1,0.017216666666666665,0.0,0.0644,0.13326666666666667,0.125,0.0,0.5,1.0,16
Celeriacs and similar-,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Celeries,0,5.084682150047148,0.023214285714285715,1.7799182857142875,8.605338095238087,2.366336633663366,2.0,5.0,6.0,202
Celeries,1,0.00021818181818181816,0.0,0.0,0.0012,0.09090909090909091,0.0,0.0,0.5,11
Celeries and similar-,0,1.2944103785103787,0.007063492063492063,1.2178095238095237,7.202642857142857,1.4230769230769231,1.0,3.0,3.0,26
Celeries and similar-,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Celery leaves,0,2.0484902782620784,0.0228,1.1962000000000006,2.5301392000000003,1.635036496350365,1.0,4.0,5.0,137
Celery leaves and similar-,0,0.022516190476190478,0.01657142857142857,0.05298666666666668,0.06222666666666665,1.8571428571428572,2.0,3.4000000000000004,3.6999999999999993,7
Celery seed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Ceps,0,7.442202614379085,0.30333333333333334,18.591200000000015,44.83439999999998,1.0,1.0,2.200000000000001,4.0,17
Cereal and cereal-like flours,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
Cereal and cereal-like flours,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Cereal bran,1,1.86,1.86,1.86,1.86,1.0,1.0,1.0,1.0,1
Cereal flakes and similar,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Cereal grains (and cereal-like grains),0,0.013217391304347825,0.0,0.0,0.0,0.010434782608695653,0.0,0.0,0.0,575
Cereal grains (and cereal-like grains),1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Cereal rolled grains,0,0.16433333333333333,0.05,0.3644,0.40369999999999995,0.6666666666666666,1.0,1.0,1.0,3
Cereal rolled grains,1,0.4,0.4,0.7200000000000001,0.76,0.5,0.5,0.9,0.95,2
Cereals with an added high protein food reconstituted,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Cereals with an added high protein food reconstituted,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid,1,18.333333333333332,0.0,55.0,82.5,0.16666666666666666,0.0,0.5,0.75,6
Chamomile,0,1.598349074074074,0.0,6.666463333333335,8.867055555555554,0.8333333333333334,0.0,3.700000000000001,4.449999999999999,12
